WARNING 2015-09-28 21:10:38,528 writers 25993 -1261003888 sale #5650 has no commission details
INFO 2015-09-28 21:10:38,565 writers 25993 -1261003888 starting to write bonus for sale #5651
WARNING 2015-09-28 21:10:38,571 writers 25993 -1261003888 sale #5651 has no commission details
INFO 2015-09-28 21:10:38,579 writers 25993 -1261003888 starting to write bonus for sale #5652
WARNING 2015-09-28 21:10:38,585 writers 25993 -1261003888 sale #5652 has no commission details
INFO 2015-09-28 21:10:38,592 writers 25993 -1261003888 starting to write bonus for sale #5653
WARNING 2015-09-28 21:10:38,598 writers 25993 -1261003888 sale #5653 has no commission details
INFO 2015-09-28 21:10:38,604 writers 25993 -1261003888 starting to write bonus for sale #5654
WARNING 2015-09-28 21:10:38,610 writers 25993 -1261003888 sale #5654 has no commission details
INFO 2015-09-28 21:10:38,617 writers 25993 -1261003888 starting to write bonus for sale #5655
WARNING 2015-09-28 21:10:38,623 writers 25993 -1261003888 sale #5655 has no commission details
INFO 2015-09-28 21:10:38,629 writers 25993 -1261003888 starting to write bonus for sale #5656
WARNING 2015-09-28 21:10:38,663 writers 25993 -1261003888 sale #5656 has no commission details
INFO 2015-09-28 21:10:38,670 writers 25993 -1261003888 starting to write bonus for sale #5657
WARNING 2015-09-28 21:10:38,675 writers 25993 -1261003888 sale #5657 has no commission details
INFO 2015-09-28 21:10:38,682 writers 25993 -1261003888 starting to write bonus for sale #5658
WARNING 2015-09-28 21:10:38,689 writers 25993 -1261003888 sale #5658 has no commission details
INFO 2015-09-28 21:10:38,696 writers 25993 -1261003888 starting to write bonus for sale #5659
WARNING 2015-09-28 21:10:38,703 writers 25993 -1261003888 sale #5659 has no commission details
INFO 2015-09-28 21:10:38,714 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 7-2015
INFO 2015-09-28 21:10:39,014 writers 25993 -1261003888 starting to write bonus for sale #5572
INFO 2015-09-28 21:10:39,060 writers 25993 -1261003888 starting to write bonus for sale #5573
WARNING 2015-09-28 21:10:39,067 writers 25993 -1261003888 sale #5573 has no commission details
